id	name	level
AK	Alaska	1
AL	Alabama	1
AR	Arkansas	0
AZ	Arizona	2
CA	California	2
CO	Colorado	2
CT	Connecticut	2
DC	Washington D.C.	2
DE	Delaware	2
FL	Florida	1
GA	Georgia	1
HI	Hawaii	2
IA	Iowa	0
ID	Idaho	2
IL	Illinois	2
IN	Indiana	2
KS	Kansas	2
KY	Kentucky	2
LA	Louisiana	2
MA	Massachusetts	2
MD	Maryland	2
ME	Maine	1
MI	Michigan	2
MN	Minnesota	2
MO	Missouri	1
MS	Mississippi	1
MT	Montana	2
NC	North Carolina	2
ND	North Dakota	0
NE	Nebraska	0
NH	New Hampshire	2
NJ	New Jersey	2
NM	New Mexico	2
NV	Nevada	0
NY	New York	2
OH	Ohio	2
OK	Oklahoma	1
OR	Oregon	2
PA	Pennsylvania	1
RI	Rhode Island	1
SC	South Carolina	1
SD	South Dakota	0
TN	Tennessee	2
TX	Texas	1
UT	Utah	1
VA	Virginia	2
VT	Vermont	2
WA	Washington	2
WI	Wisconsin	2
WV	West Virginia	2
WY	Wyoming	1
